iso3code,country-english,country-french,country-spanish,women,men,gap
COM,Comoros,Comores,Comoras,12.1,7.9,4.2
CPV,Cape Verde,Cap-Vert,Cabo Verde,15,15.7,-0.7
CRI,Costa Rica,Costa Rica,Costa Rica,24.3,13.7,10.6
CUB,Cuba,Cuba,Cuba,3,2.6,0.4
CYP,Cyprus,Chypre,Chipre,7.1,5.4,1.7
CZE,Czechia,Tchéquie,Chequia,3.6,2.3,1.3
DEU,Germany,Allemagne,Alemania,3.2,3.9,-0.7
DJI,Djibouti,Djibouti,Djibouti,39.4,24.6,14.8
DNK,Denmark,Danemark,Dinamarca,4.9,4.7,0.2
DOM,Dominican Republic,République dominicaine,República Dominicana,12.6,5.8,6.8
DZA,Algeria,Algérie,Argelia,22.1,10.4,11.7
ECU,Ecuador,Equateur,Ecuador,7.8,5.5,2.3
EGY,Egypt,Egypte,Egipto,24.3,5.9,18.4
ERI,Eritrea,Érythrée,Eritrea,9.2,7.1,2.1
ESP,Spain,Espagne,España,16.8,12.9,3.9
EST,Estonia,Estonie,Estonia,6.1,6.6,-0.5
ETH,Ethiopia,Ethiopie,Etiopía,4.7,2.8,1.9
FIN,Finland,Finlande,Finlandia,7,8,-1.0
FJI,Fiji,Fidji,Fiji,6.7,4.5,2.2
FRA,France,France,Francia,8,8.1,-0.1
GAB,Gabon,Gabon,Gabón,30.5,16.9,13.6
GBR,United Kingdom,Royaume-Uni,Reino Unido,4.3,4.7,-0.4
GEO,Georgia,Géorgie,Georgia,9.6,11.5,-1.9
GHA,Ghana,Ghana,Ghana,5,4.5,0.5
GIN,Guinea,Guinée,Guinea,6.5,6.2,0.3
GMB,Gambia,Gambie,Gambia,14.8,8.4,6.4
GNB,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,7.7,5.9,1.8
GNQ,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,10.6,8.4,2.2
GRC,Greece,Grèce,Grecia,18.8,11.6,7.2
GTM,Guatemala,Guatemala,Guatemala,4.6,3,1.6
GUM,Guam,Guam,Guam,6.8,7.1,-0.3
GUY,Guyana,Guyana,Guyana,19.5,14.5,5.0
HND,Honduras,Honduras,Honduras,11.9,6.7,5.2
HRV,Croatia,Croatie,Croacia,8.6,8.8,-0.2
HTI,Haiti,Haïti,Haití,19,12.7,6.3
HUN,Hungary,Hongrie,Hungría,4.3,3.9,0.4
IDN,Indonesia,Indonésie,Indonesia,4,4.7,-0.7
IND,India,Inde,India,4.5,6.3,-1.8
IRL,Ireland,Irlande,Irlanda,6.6,6.6,0.0
